kernel_radius, b  , c  , h  , w  , max_fn_sec, max_fn_value, luca_fn_sec           , luca_fn_value
            2,   4,   4,   4,   4,           ,             , 0.0007863929999984975 ,  0.150146484375
            2,   4,   4,   8,   8,           ,             , 0.0006950829999823327 ,  0.4599609375
            2,   4,   4,  16,  16,           ,             , 0.0004061140000430896 ,  1.552734375
            2,   4,   4,  32,  32,           ,             , 0.0003950980000126947 ,  1.34375
            2,   4,   4,  64,  64,           ,             , 0.00043710400007057615,  1.5048828125
            2,   4,   4, 128, 128,           ,             , 0.00040863799995349837,  1.953125
            2,   4,   8,   4,   4,           ,             , 0.0004084610000063549 ,  0.2509765625
            2,   4,   8,   8,   8,           ,             , 0.0003985519999787357 ,  0.69970703125
            2,   4,   8,  16,  16,           ,             , 0.0003986250000025393 ,  1.283203125
            2,   4,   8,  32,  32,           ,             , 0.00040169800001876865,  1.771484375
            2,   4,   8,  64,  64,           ,             , 0.0003962520000868608 ,  1.8212890625
            2,   4,   8, 128, 128,           ,             , 0.0004156850000072154 ,  2.3359375
            2,   4,  16,   4,   4,           ,             , 0.0004059260000985887 ,  0.6005859375
            2,   4,  16,   8,   8,           ,             , 0.00044308799999726034,  1.1416015625
            2,   4,  16,  16,  16,           ,             , 0.0004904869999791117 ,  1.369140625
            2,   4,  16,  32,  32,           ,             , 0.0004672750000054293 ,  1.7431640625
            2,   4,  16,  64,  64,           ,             , 0.00040852799997992406,  1.98046875
            2,   4,  16, 128, 128,           ,             , 0.0005745529999785504 ,  2.3984375
            2,   4,  32,   4,   4,           ,             , 0.00039575699997840275,  0.6611328125
            2,   4,  32,   8,   8,           ,             , 0.0003953899999942223 ,  1.296875
            2,   4,  32,  16,  16,           ,             , 0.00039469500006816816,  1.3798828125
            2,   4,  32,  32,  32,           ,             , 0.00041535799994107947,  2.1484375
            2,   4,  32,  64,  64,           ,             , 0.0004789129999380748 ,  2.2265625
            2,   4,  32, 128, 128,           ,             , 0.0012845520000155375 ,  3.306640625
            2,   4,  64,   4,   4,           ,             , 0.0004376269999966098 ,  0.5595703125
            2,   4,  64,   8,   8,           ,             , 0.0004604060000019672 ,  1.875
            2,   4,  64,  16,  16,           ,             , 0.0004534790000434441 ,  1.953125
            2,   4,  64,  32,  32,           ,             , 0.0005111100000476654 ,  2.185546875
            2,   4,  64,  64,  64,           ,             , 0.0011875370000780094 ,  2.359375
            2,   4,  64, 128, 128,           ,             , 0.0037948020000158067 ,  3.171875
            2,   4, 128,   4,   4,           ,             , 0.00042525200001364283,  0.841796875
            2,   4, 128,   8,   8,           ,             , 0.00042322299998431845,  1.671875
            2,   4, 128,  16,  16,           ,             , 0.0004801070000439722 ,  1.626953125
            2,   4, 128,  32,  32,           ,             , 0.0010902980000082607 ,  2.8671875
            2,   4, 128,  64,  64,           ,             , 0.0036151749999362437 ,  2.896484375
            2,   4, 128, 128, 128,           ,             , 0.013389272000040364  ,  3.2890625
            2,   8,   4,   4,   4,           ,             , 0.0004449040000054083 ,  0.58154296875
            2,   8,   4,   8,   8,           ,             , 0.0004159929999332235 ,  1.3642578125
            2,   8,   4,  16,  16,           ,             , 0.00040602100000342034,  1.609375
            2,   8,   4,  32,  32,           ,             , 0.00040749200002210273,  2.671875
            2,   8,   4,  64,  64,           ,             , 0.00040700800002468895,  2.919921875
            2,   8,   4, 128, 128,           ,             , 0.00043044299991379376,  3.349609375
            2,   8,   8,   4,   4,           ,             , 0.0004206439999734357 ,  1.029296875
            2,   8,   8,   8,   8,           ,             , 0.00042455400000562804,  2.369140625
            2,   8,   8,  16,  16,           ,             , 0.0004587590000255659 ,  2.37109375
            2,   8,   8,  32,  32,           ,             , 0.00045008200004303944,  2.734375
            2,   8,   8,  64,  64,           ,             , 0.000439593999999488  ,  4.46484375
            2,   8,   8, 128, 128,           ,             , 0.0004890369999657196 ,  4.8984375
            2,   8,  16,   4,   4,           ,             , 0.0004271919999609963 ,  1.373046875
            2,   8,  16,   8,   8,           ,             , 0.00040742800001680735,  1.712890625
            2,   8,  16,  16,  16,           ,             , 0.0005266319999464031 ,  2.78125
            2,   8,  16,  32,  32,           ,             , 0.0005385460000297826 ,  3.677734375
            2,   8,  16,  64,  64,           ,             , 0.000434947000030661  ,  3.345703125
