kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,,,0.0008802620000096795,0.0151519775390625
2,4,4,8,8,,,0.0007666980000067269,0.0252532958984375
2,4,4,16,16,,,0.000552004999917699,0.03814697265625
2,4,4,32,32,,,0.0005712250000442509,0.03692626953125
2,4,4,64,64,,,0.0005384209999874656,0.036895751953125
2,4,4,128,128,,,0.0005568689999790877,0.0396728515625
2,4,8,4,4,,,0.0005018609999751789,0.0139617919921875
2,4,8,8,8,,,0.0004904149999447327,0.024017333984375
2,4,8,16,16,,,0.0005117010000503797,0.0341796875
2,4,8,32,32,,,0.0005251170000519778,0.036285400390625
2,4,8,64,64,,,0.0004994909999140873,0.03875732421875
2,4,8,128,128,,,0.0005444579999220878,0.039215087890625
2,4,16,4,4,,,0.0004962110000406028,0.023040771484375
2,4,16,8,8,,,0.00048395900000741676,0.022918701171875
2,4,16,16,16,,,0.0005122029999711231,0.032745361328125
2,4,16,32,32,,,0.0005205380000461446,0.037933349609375
2,4,16,64,64,,,0.0004984189999959199,0.038818359375
2,4,16,128,128,,,0.00074604899998576,0.039825439453125
2,4,32,4,4,,,0.00047929800007295853,0.0198211669921875
2,4,32,8,8,,,0.0005053510000152528,0.0264892578125
2,4,32,16,16,,,0.0005101649999232905,0.0338134765625
2,4,32,32,32,,,0.0005061470000100599,0.037506103515625
2,4,32,64,64,,,0.0006360920000361148,0.0384521484375
2,4,32,128,128,,,0.0014873750000106156,0.03924560546875
2,4,64,4,4,,,0.0004935449999265984,0.01702880859375
2,4,64,8,8,,,0.0004956889999903069,0.0283660888671875
2,4,64,16,16,,,0.0005030889999488863,0.033905029296875
2,4,64,32,32,,,0.00064074800002345,0.037017822265625
2,4,64,64,64,,,0.0013385780000589875,0.038726806640625
2,4,64,128,128,,,0.004164837999951487,0.039581298828125
2,4,128,4,4,,,0.000525135999964732,0.0205230712890625
2,4,128,8,8,,,0.000492691999966155,0.031829833984375
2,4,128,16,16,,,0.0006211400000211142,0.033111572265625
2,4,128,32,32,,,0.001275560000067344,0.0369873046875
2,4,128,64,64,,,0.003928746000042338,0.038421630859375
2,4,128,128,128,,,0.014412666999987778,0.03936767578125
2,8,4,4,4,,,0.0005520849999811617,0.0240325927734375
2,8,4,8,8,,,0.0005300740000393489,0.023040771484375
2,8,4,16,16,,,0.0005364639999925203,0.0350341796875
2,8,4,32,32,,,0.0005021230000465948,0.0364990234375
2,8,4,64,64,,,0.0006309789999932036,0.03887939453125
2,8,4,128,128,,,0.0005241750000095635,0.038970947265625
2,8,8,4,4,,,0.0005449350001072162,0.025970458984375
2,8,8,8,8,,,0.0005584640000506624,0.03289794921875
2,8,8,16,16,,,0.0005202309999958743,0.0362548828125
2,8,8,32,32,,,0.0005045479999807867,0.036865234375
2,8,8,64,64,,,0.0005807139999660649,0.0382080078125
2,8,8,128,128,,,0.0006560389999776817,0.039306640625
2,8,16,4,4,,,0.0005233269999962431,0.02020263671875
2,8,16,8,8,,,0.0005348330000742862,0.0304107666015625
2,8,16,16,16,,,0.0005125820000557724,0.033966064453125
2,8,16,32,32,,,0.0004972680000037144,0.037841796875
2,8,16,64,64,,,0.0005262319999701504,0.038421630859375
2,8,16,128,128,,,0.0011103940000793955,0.03912353515625
2,8,32,4,4,,,0.000507471999981135,0.0231475830078125
2,8,32,8,8,,,0.0005423759999985123,0.032012939453125
2,8,32,16,16,,,0.0005301639999970575,0.033355712890625
2,8,32,32,32,,,0.0005252970000810819,0.036865234375
2,8,32,64,64,,,0.00097390100006578,0.0386962890625
2,8,32,128,128,,,0.002590263000001869,0.039276123046875
2,8,64,4,4,,,0.0005250369999885152,0.01898193359375
2,8,64,8,8,,,0.0005080349999389,0.0294647216796875
2,8,64,16,16,,,0.0005285949999915829,0.035186767578125
2,8,64,32,32,,,0.0008726449999585384,0.037139892578125
2,8,64,64,64,,,0.0022639989999788668,0.038726806640625
2,8,64,128,128,,,0.007476467000060438,0.03924560546875
2,8,128,4,4,,,0.0005644650000249385,0.022247314453125
2,8,128,8,8,,,0.000527218999991419,0.0295562744140625
2,8,128,16,16,,,0.0008000670000001264,0.033782958984375
2,8,128,32,32,,,0.0021491109999942637,0.037109375
2,8,128,64,64,,,0.006953235999958451,0.03857421875
2,8,128,128,128,,,0.026903313000048,0.039306640625
2,16,4,4,4,,,0.0007911690000810268,0.01399993896484375
2,16,4,8,8,,,0.0005537890000368861,0.031463623046875
2,16,4,16,16,,,0.0006085249999614462,0.036102294921875
2,16,4,32,32,,,0.0005706739999595811,0.03765869140625
2,16,4,64,64,,,0.0005368550000639516,0.03851318359375
2,16,4,128,128,,,0.0005836809999664183,0.039337158203125
2,16,8,4,4,,,0.0005479410000361895,0.0212554931640625
2,16,8,8,8,,,0.0005489249999754975,0.02838134765625
2,16,8,16,16,,,0.0005927600000177335,0.033660888671875
2,16,8,32,32,,,0.0005528420000473488,0.03631591796875
2,16,8,64,64,,,0.0005755329999601599,0.038604736328125
2,16,8,128,128,,,0.0009807400000454436,0.039154052734375
2,16,16,4,4,,,0.0005527319999600877,0.0196380615234375
2,16,16,8,8,,,0.0005470270000387245,0.0298004150390625
2,16,16,16,16,,,0.000574137999933555,0.03350830078125
2,16,16,32,32,,,0.0005502849999174941,0.03692626953125
2,16,16,64,64,,,0.000753772000052777,0.0389404296875
2,16,16,128,128,,,0.0017845849999957863,0.039215087890625
2,16,32,4,4,,,0.0005827329999874564,0.0197601318359375
2,16,32,8,8,,,0.0005393590000721815,0.0284271240234375
2,16,32,16,16,,,0.0005758040000500841,0.033477783203125
2,16,32,32,32,,,0.000724933999890709,0.037017822265625
2,16,32,64,64,,,0.0015251179999040687,0.038482666015625
2,16,32,128,128,,,0.004604791000019759,0.039306640625
2,16,64,4,4,,,0.0005445379999855504,0.0189361572265625
2,16,64,8,8,,,0.0005736109999361361,0.029266357421875
2,16,64,16,16,,,0.0007138400000030742,0.033905029296875
2,16,64,32,32,,,0.0013299269999151875,0.037017822265625
2,16,64,64,64,,,0.004007026999943264,0.038604736328125
2,16,64,128,128,,,0.0147357490000104,0.039276123046875
2,16,128,4,4,,,0.0006131349999805025,0.019134521484375
2,16,128,8,8,,,0.0007134909999422234,0.0286102294921875
2,16,128,16,16,,,0.001290222000079666,0.0341796875
2,16,128,32,32,,,0.003843959999926483,0.037109375
