kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,0.05848596199984968,0.9953063130378723,,
2,4,4,8,8,0.058103629000015644,0.9999784231185913,,
2,4,4,16,16,0.05846088100020097,0.9999278783798218,,
2,4,4,32,32,0.05873719299984259,0.9999849796295166,,
2,4,4,64,64,0.05945986899996569,0.9999947547912598,,
2,4,4,128,128,0.058415101000036884,1.0,,
2,4,8,4,4,0.21010552300003837,0.999962329864502,,
2,4,8,8,8,0.21353815299994494,0.9999468326568604,,
2,4,8,16,16,0.20946694400004162,0.9999762773513794,,
2,4,8,32,32,0.2103555429998778,0.9999915361404419,,
2,4,8,64,64,0.217026333999911,0.9999985694885254,,
2,4,8,128,128,0.21662990899994838,0.9999997615814209,,
2,4,16,4,4,0.8166456369999651,0.9999933242797852,,
2,4,16,8,8,0.799564227000019,0.9999969005584717,,
2,4,16,16,16,0.7877194340001097,0.9999978542327881,,
2,4,16,32,32,0.7973992569998245,0.9999995231628418,,
2,4,16,64,64,0.8008037740000873,1.0,,
2,4,16,128,128,0.7907266930001242,1.0,,
2,4,32,4,4,3.0580227739999373,0.9999901056289673,,
2,4,32,8,8,3.031058178999956,0.9999982118606567,,
2,4,32,16,16,3.1049032580001494,0.9999992847442627,,
2,4,32,32,32,3.0569252029999916,1.0,,
2,4,32,64,64,3.0463767449998613,1.0,,
2,4,32,128,128,3.0859437409999373,1.000000238418579,,
2,4,64,4,4,11.839229302999911,0.9999973773956299,,
2,4,64,8,8,11.9299003860001,1.0,,
2,4,64,16,16,12.089579168,0.9999998807907104,,
2,4,64,32,32,12.110703682999883,0.9999998807907104,,
2,4,64,64,64,12.107820712000375,1.000000238418579,,
2,4,64,128,128,12.076138004999848,1.000000238418579,,
2,4,128,4,4,47.27840212000001,0.9999991655349731,,
2,4,128,8,8,47.68555837200029,1.0,,
2,4,128,16,16,48.32948252799997,1.000000238418579,,
2,4,128,32,32,48.18313959199986,1.0,,
2,4,128,64,64,48.27495849900015,1.000000238418579,,
2,4,128,128,128,47.91888723400007,1.000000238418579,,
2,8,4,4,4,0.05785935199992309,0.84342360496521,,
2,8,4,8,8,0.05757256500010044,0.9281827807426453,,
2,8,4,16,16,0.05778779100000975,0.9760842323303223,,
2,8,4,32,32,0.057658454999909736,0.9729776978492737,,
2,8,4,64,64,0.057627023000350164,0.9943464994430542,,
2,8,4,128,128,0.058427140999810945,0.992427408695221,,
2,8,8,4,4,0.208969745000104,0.907635509967804,,
2,8,8,8,8,0.21221754799989867,0.928128182888031,,
2,8,8,16,16,0.20894226500013247,0.9678734540939331,,
2,8,8,32,32,0.21537690900004236,0.9797328114509583,,
2,8,8,64,64,0.21265924999988783,0.9863779544830322,,
2,8,8,128,128,0.20993901600013487,0.9960907697677612,,
2,8,16,4,4,0.7952701439999146,0.9685897827148438,,
2,8,16,8,8,0.7980618700003106,0.9828624129295349,,
2,8,16,16,16,0.8065131849998579,0.981751561164856,,
2,8,16,32,32,0.7972416249999696,0.9912592172622681,,
2,8,16,64,64,0.7879849350001678,0.9943724274635315,,
2,8,16,128,128,0.7911021140002958,0.9963081479072571,,
2,8,32,4,4,3.008578744999795,0.9723416566848755,,
2,8,32,8,8,3.0662498070000765,0.9916099309921265,,
2,8,32,16,16,3.118203323999751,0.9915480017662048,,
2,8,32,32,32,3.05630291100033,0.9957000017166138,,
2,8,32,64,64,3.122850008000114,0.9949602484703064,,
2,8,32,128,128,3.084377001000121,0.9967622756958008,,
2,8,64,4,4,12.047102937999625,0.9672361612319946,,
2,8,64,8,8,11.982287437000195,0.9909133911132812,,
2,8,64,16,16,12.165561919000083,0.99366694688797,,
2,8,64,32,32,12.208065402000102,0.9973322153091431,,
2,8,64,64,64,12.046846386000198,0.9976722598075867,,
2,8,64,128,128,12.058709259000352,0.9992667436599731,,
2,8,128,4,4,47.13902893600016,0.9850887060165405,,
2,8,128,8,8,47.749819670000306,0.9970487952232361,,
2,8,128,16,16,48.25241063800013,0.9973644614219666,,
2,8,128,32,32,48.395887825000045,0.9980728626251221,,
2,8,128,64,64,48.20832089300029,0.9986687302589417,,
2,8,128,128,128,48.22561864199997,0.9994845986366272,,
2,16,4,4,4,0.05776478300003873,0.6913562417030334,,
2,16,4,8,8,0.05831948300010481,0.6785423755645752,,
2,16,4,16,16,0.060130833000130224,0.7538594007492065,,
2,16,4,32,32,0.059440755999730754,0.8273279666900635,,
2,16,4,64,64,0.05852165699980105,0.8031152486801147,,
2,16,4,128,128,0.05884245400011423,0.9068514704704285,,
2,16,8,4,4,0.2074808719999055,0.5641341805458069,,
