kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,,,0.001092852999988736,0.0946044921875
2,4,4,8,8,,,0.0007855069999891384,0.0298004150390625
2,4,4,16,16,,,0.0006585190000123475,0.0087432861328125
2,4,4,32,32,,,0.0006708090000415723,0.001789093017578125
2,4,4,64,64,,,0.0006469859999924665,0.0006880760192871094
2,4,4,128,128,,,0.0006236079999553112,0.00014841556549072266
2,4,8,4,4,,,0.0006294690000459013,0.1773681640625
2,4,8,8,8,,,0.0005847750000498309,0.043365478515625
2,4,8,16,16,,,0.0006198720000156754,0.0115509033203125
2,4,8,32,32,,,0.0008496250000007421,0.0028820037841796875
2,4,8,64,64,,,0.0006929880000257072,0.0004868507385253906
2,4,8,128,128,,,0.000786606000019674,0.00014162063598632812
2,4,16,4,4,,,0.0006155780000085542,0.20361328125
2,4,16,8,8,,,0.000595790999966539,0.056365966796875
2,4,16,16,16,,,0.0007242659999633361,0.0146942138671875
2,4,16,32,32,,,0.000664542999970763,0.0033054351806640625
2,4,16,64,64,,,0.0006239520000121956,0.0007195472717285156
2,4,16,128,128,,,0.001291569000045456,0.0002193450927734375
2,4,32,4,4,,,0.0006641449999733595,0.2093505859375
2,4,32,8,8,,,0.0007016020000492063,0.06231689453125
2,4,32,16,16,,,0.0006282009999836191,0.0164642333984375
2,4,32,32,32,,,0.0006919720000269081,0.00395965576171875
2,4,32,64,64,,,0.0007275309999954516,0.00110626220703125
2,4,32,128,128,,,0.0022203620000027513,0.0003116130828857422
2,4,64,4,4,,,0.0006769249999933891,0.265380859375
2,4,64,8,8,,,0.0006884490000516053,0.0765380859375
2,4,64,16,16,,,0.0006271609999544125,0.0165863037109375
2,4,64,32,32,,,0.0009354030000281455,0.00478363037109375
2,4,64,64,64,,,0.0012021180000374443,0.0009860992431640625
2,4,64,128,128,,,0.004119912999954067,0.00025916099548339844
2,4,128,4,4,,,0.0006581569999752901,0.262451171875
2,4,128,8,8,,,0.0006301740000367317,0.07568359375
