kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,,,0.0011725879999744393,0.016082763671875
2,4,4,8,8,,,0.0010855870000341383,0.00414276123046875
2,4,4,16,16,,,0.0008951469999942674,0.0009565353393554688
2,4,4,32,32,,,0.0007773500000212152,0.0002181529998779297
2,4,4,64,64,,,0.0007455829999685193,6.031990051269531e-05
2,4,4,128,128,,,0.000782889999982217,1.52587890625e-05
2,4,8,4,4,,,0.000754881000034402,0.0161590576171875
2,4,8,8,8,,,0.0006524920000288148,0.003997802734375
2,4,8,16,16,,,0.0006689810000466423,0.0009379386901855469
2,4,8,32,32,,,0.0009139619999700699,0.00024819374084472656
2,4,8,64,64,,,0.0008349110000267501,6.079673767089844e-05
2,4,8,128,128,,,0.0009048210000059953,1.5616416931152344e-05
2,4,16,4,4,,,0.0006617319999691063,0.0156707763671875
2,4,16,8,8,,,0.0006801260000202092,0.004055023193359375
2,4,16,16,16,,,0.0010346169999593258,0.0009784698486328125
2,4,16,32,32,,,0.0007714449999980388,0.00023043155670166016
2,4,16,64,64,,,0.0007074459999785176,5.91278076171875e-05
2,4,16,128,128,,,0.0013247320000004947,1.4781951904296875e-05
2,4,32,4,4,,,0.0007276680000245506,0.0160980224609375
2,4,32,8,8,,,0.0007543110000369779,0.00399017333984375
2,4,32,16,16,,,0.0007051749999504864,0.0009684562683105469
2,4,32,32,32,,,0.0007738479999943593,0.00024366378784179688
2,4,32,64,64,,,0.000814058000003115,6.115436553955078e-05
2,4,32,128,128,,,0.0022416679999537337,1.5437602996826172e-05
2,4,64,4,4,,,0.0006897789999698034,0.0159454345703125
2,4,64,8,8,,,0.0006925519999754215,0.003917694091796875
2,4,64,16,16,,,0.0007032589999766969,0.0009760856628417969
2,4,64,32,32,,,0.0007051390000469837,0.0002460479736328125
2,4,64,64,64,,,0.001256635999993705,6.151199340820312e-05
2,4,64,128,128,,,0.004115914000010434,1.52587890625e-05
2,4,128,4,4,,,0.0009080250000010892,0.0159759521484375
2,4,128,8,8,,,0.0007273379999901408,0.00392913818359375
2,4,128,16,16,,,0.0007306340000354794,0.0009784698486328125
2,4,128,32,32,,,0.0008833090000166521,0.000244140625
2,4,128,64,64,,,0.0021710149999876194,6.097555160522461e-05
2,4,128,128,128,,,0.007749634999981936,1.52587890625e-05
2,8,4,4,4,,,0.0007124389999830782,0.00853729248046875
2,8,4,8,8,,,0.0007038899999542991,0.0019702911376953125
2,8,4,16,16,,,0.0006951689999823429,0.0004525184631347656
2,8,4,32,32,,,0.0007017679999989923,0.00010907649993896484
2,8,4,64,64,,,0.0007305440000209273,2.8371810913085938e-05
2,8,4,128,128,,,0.0008298679999825254,7.3909759521484375e-06
2,8,8,4,4,,,0.0007200350000289291,0.00806427001953125
2,8,8,8,8,,,0.0009080649999759771,0.0019083023071289062
2,8,8,16,16,,,0.0007487899999887304,0.00047969818115234375
2,8,8,32,32,,,0.0007697319999806496,0.00012505054473876953
2,8,8,64,64,,,0.0007181519999903685,3.3020973205566406e-05
2,8,8,128,128,,,0.0012928740000006655,7.927417755126953e-06
2,8,16,4,4,,,0.0006903269999725126,0.00780487060546875
2,8,16,8,8,,,0.0007425839999655182,0.0019321441650390625
2,8,16,16,16,,,0.0007034370000269519,0.0004906654357910156
2,8,16,32,32,,,0.0007297149999772046,0.00012177228927612305
2,8,16,64,64,,,0.0008395869999731076,3.1948089599609375e-05
2,8,16,128,128,,,0.002230166000003919,7.62939453125e-06
2,8,32,4,4,,,0.000722616000018661,0.008148193359375
2,8,32,8,8,,,0.0007174930000246604,0.001941680908203125
2,8,32,16,16,,,0.0007275250000020606,0.0004925727844238281
2,8,32,32,32,,,0.0007078190000129325,0.00012022256851196289
2,8,32,64,64,,,0.0013363310000045203,3.0159950256347656e-05
2,8,32,128,128,,,0.004063291000022673,7.510185241699219e-06
2,8,64,4,4,,,0.0007351060000360121,0.0078887939453125
2,8,64,8,8,,,0.0006728660000021591,0.001949310302734375
2,8,64,16,16,,,0.0007267529999808175,0.0004916191101074219
2,8,64,32,32,,,0.0008207909999669027,0.00012117624282836914
2,8,64,64,64,,,0.0022034369999914816,3.057718276977539e-05
2,8,64,128,128,,,0.007825897999964582,7.569789886474609e-06
2,8,128,4,4,,,0.0010421909999536183,0.00783538818359375
2,8,128,8,8,,,0.0008132289999593922,0.001956939697265625
2,8,128,16,16,,,0.0007208040000250548,0.0004832744598388672
2,8,128,32,32,,,0.0013307649999774185,0.00012242794036865234
2,8,128,64,64,,,0.003971896999985347,3.045797348022461e-05
2,8,128,128,128,,,0.01471136100002468,7.62939453125e-06
2,16,4,4,4,,,0.0007503719999704117,0.00295257568359375
2,16,4,8,8,,,0.0007376730000032694,0.0008988380432128906
2,16,4,16,16,,,0.0007104099999537539,0.00022041797637939453
2,16,4,32,32,,,0.0007453940000345938,6.717443466186523e-05
2,16,4,64,64,,,0.0007403690000273855,1.4185905456542969e-05
2,16,4,128,128,,,0.0012353960000268671,4.410743713378906e-06
2,16,8,4,4,,,0.000750677999974414,0.0035686492919921875
2,16,8,8,8,,,0.0007100540000237743,0.0009684562683105469
2,16,8,16,16,,,0.0007359119999819086,0.00024402141571044922
2,16,8,32,32,,,0.0007296559999758756,5.710124969482422e-05
2,16,8,64,64,,,0.000908646000027602,1.424551010131836e-05
