kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,0.08489988500150503,0.040435791015625,,
2,4,4,8,8,0.0645935409993399,0.00586700439453125,,
2,4,4,16,16,0.06654934200196294,0.001148223876953125,,
2,4,4,32,32,0.0690891960002773,0.00023698806762695312,,
2,4,4,64,64,0.07203637000202434,6.270408630371094e-05,,
2,4,4,128,128,0.06812578300014138,1.6987323760986328e-05,,
2,4,8,4,4,0.24659000099927653,0.0404052734375,,
2,4,8,8,8,0.24276640900279745,0.0056304931640625,,
2,4,8,16,16,0.2742460339977697,0.001102447509765625,,
2,4,8,32,32,0.2800393199977407,0.0002696514129638672,,
2,4,8,64,64,0.25016575299741817,6.395578384399414e-05,,
2,4,8,128,128,0.2960322759972769,1.5020370483398438e-05,,
2,4,16,4,4,0.9878735550009878,0.039703369140625,,
2,4,16,8,8,0.8624310599989258,0.00582122802734375,,
2,4,16,16,16,0.9573996020008053,0.0011386871337890625,,
2,4,16,32,32,0.8568784430026426,0.0002884864807128906,,
2,4,16,64,64,0.8926938839977083,6.538629531860352e-05,,
2,4,16,128,128,0.9287583990007988,1.5914440155029297e-05,,
2,4,32,4,4,3.2638541349988373,0.039306640625,,
2,4,32,8,8,3.4954920560012397,0.005565643310546875,,
2,4,32,16,16,3.6716299289983,0.0011472702026367188,,
2,4,32,32,32,3.7826777120026236,0.0002663135528564453,,
2,4,32,64,64,3.830868388999079,6.401538848876953e-05,,
2,4,32,128,128,3.669881260000693,1.5616416931152344e-05,,
2,4,64,4,4,14.117463013997622,0.0394287109375,,
2,4,64,8,8,12.351836598998489,0.005611419677734375,,
2,4,64,16,16,13.906780723998963,0.0011548995971679688,,
2,4,64,32,32,12.880922772001213,0.0002655982971191406,,
2,4,64,64,64,12.696099616001447,6.35981559753418e-05,,
2,4,64,128,128,13.55166365200057,1.5676021575927734e-05,,
2,4,128,4,4,51.049668415998894,0.039306640625,,
2,4,128,8,8,51.08100155699867,0.0056304931640625,,
2,4,128,16,16,47.347344633999455,0.0011548995971679688,,
2,4,128,32,32,50.9057168870022,0.0002639293670654297,,
2,4,128,64,64,55.786865643000056,6.318092346191406e-05,,
2,4,128,128,128,54.49360230000093,1.5556812286376953e-05,,
2,8,4,4,4,0.06490864200168289,0.01971435546875,,
2,8,4,8,8,0.06290818699926604,0.0031909942626953125,,
2,8,4,16,16,0.06132606499886606,0.0007123947143554688,,
2,8,4,32,32,0.08242473299833364,0.0001399517059326172,,
2,8,4,64,64,0.07494266999856336,3.2007694244384766e-05,,
2,8,4,128,128,0.08291330700012622,9.775161743164062e-06,,
2,8,8,4,4,0.2596010170018417,0.0204620361328125,,
2,8,8,8,8,0.24186129800000344,0.0031757354736328125,,
2,8,8,16,16,0.2777164150029421,0.0005922317504882812,,
2,8,8,32,32,0.24636471700068796,0.00011998414993286133,,
2,8,8,64,64,0.2577002540019748,2.9087066650390625e-05,,
2,8,8,128,128,0.25642689000233077,7.68899917602539e-06,,
2,8,16,4,4,0.9227839199993468,0.01904296875,,
2,8,16,8,8,0.936006936000922,0.00283050537109375,,
2,8,16,16,16,0.9577670159997069,0.000598907470703125,,
2,8,16,32,32,0.8972730829991633,0.00012886524200439453,,
2,8,16,64,64,1.0190533640015929,3.1113624572753906e-05,,
2,8,16,128,128,0.9985238820008817,8.225440979003906e-06,,
2,8,32,4,4,3.6214972060006403,0.0198211669921875,,
2,8,32,8,8,3.5739376320016163,0.0028285980224609375,,
2,8,32,16,16,3.5628882839992,0.0005788803100585938,,
2,8,32,32,32,3.756185361999087,0.00013244152069091797,,
2,8,32,64,64,3.9534297800018976,3.141164779663086e-05,,
2,8,32,128,128,3.8199338160011393,7.867813110351562e-06,,
2,8,64,4,4,15.451392140999815,0.0192718505859375,,
2,8,64,8,8,16.02916854200157,0.002849578857421875,,
2,8,64,16,16,12.80909009899915,0.0005736351013183594,,
2,8,64,32,32,12.734658094999759,0.0001322031021118164,,
2,8,64,64,64,12.732146076999925,3.159046173095703e-05,,
2,8,64,128,128,13.070059226000012,7.748603820800781e-06,,
2,8,128,4,4,57.022296285002085,0.0192108154296875,,
2,8,128,8,8,49.67209554600049,0.0028076171875,,
2,8,128,16,16,51.30024420399786,0.0005745887756347656,,
2,8,128,32,32,49.137431938997906,0.00013184547424316406,,
2,8,128,64,64,48.3061016190004,3.170967102050781e-05,,
2,8,128,128,128,49.70802301200092,7.808208465576172e-06,,
2,16,4,4,4,0.0639901779977663,0.01003265380859375,,
2,16,4,8,8,0.05717168600313016,0.0014047622680664062,,
2,16,4,16,16,0.060787923001043964,0.0002951622009277344,,
2,16,4,32,32,0.06312766399787506,7.31348991394043e-05,,
2,16,4,64,64,0.056388602999504656,1.3589859008789062e-05,,
2,16,4,128,128,0.07289426400166121,3.337860107421875e-06,,
2,16,8,4,4,0.21547395800007507,0.00940704345703125,,
2,16,8,8,8,0.21570937800061074,0.0014095306396484375,,
2,16,8,16,16,0.22089183899879572,0.0002713203430175781,,
2,16,8,32,32,0.2090005280006153,6.765127182006836e-05,,
2,16,8,64,64,0.21419397999852663,1.7344951629638672e-05,,
2,16,8,128,128,0.22850975299661513,3.6954879760742188e-06,,
2,16,16,4,4,0.8281975680001779,0.009002685546875,,
2,16,16,8,8,0.8347168420004891,0.0013494491577148438,,
2,16,16,16,16,0.816385583999363,0.00028824806213378906,,
2,16,16,32,32,0.8084140899991326,6.371736526489258e-05,,
2,16,16,64,64,0.8295002339982602,1.5556812286376953e-05,,
2,16,16,128,128,0.9034723259974271,3.933906555175781e-06,,
2,16,32,4,4,3.0539687169984973,0.00952911376953125,,
2,16,32,8,8,3.113312732999475,0.0014171600341796875,,
2,16,32,16,16,3.1258465989994875,0.00029158592224121094,,
2,16,32,32,32,3.564348001000326,6.622076034545898e-05,,
2,16,32,64,64,3.1548625549985445,1.5914440155029297e-05,,
2,16,32,128,128,3.5061992649971216,3.993511199951172e-06,,
2,16,64,4,4,12.819368685999507,0.0094451904296875,,
2,16,64,8,8,12.277401248000388,0.0013952255249023438,,
2,16,64,16,16,12.695771020000393,0.00028896331787109375,,
2,16,64,32,32,12.497692429999006,6.67572021484375e-05,,
2,16,64,64,64,12.705618575997505,1.6033649444580078e-05,,
2,16,64,128,128,13.366306708001503,3.933906555175781e-06,,
2,16,128,4,4,53.932830244997604,0.009552001953125,,
2,16,128,8,8,47.64821503699932,0.0013952255249023438,,
2,16,128,16,16,46.841672732000006,0.0002894401550292969,,
2,16,128,32,32,45.33022223700027,6.586313247680664e-05,,
2,16,128,64,64,45.84797659900141,1.5914440155029297e-05,,
2,16,128,128,128,51.30963892900036,3.874301910400391e-06,,
2,32,4,4,4,0.06315517199982423,0.004848480224609375,,
2,32,4,8,8,0.05536656899857917,0.0006551742553710938,,
2,32,4,16,16,0.058661558003223035,0.00013136863708496094,,
2,32,4,32,32,0.0635262830001011,3.039836883544922e-05,,
2,32,4,64,64,0.057806355001957854,9.059906005859375e-06,,
2,32,4,128,128,0.05728156099939952,2.0265579223632812e-06,,
2,32,8,4,4,0.21859241100173676,0.004207611083984375,,
2,32,8,8,8,0.21853197000018554,0.0007271766662597656,,
2,32,8,16,16,0.19422596500226064,0.00014853477478027344,,
2,32,8,32,32,0.19426471599945216,3.421306610107422e-05,,
2,32,8,64,64,0.20338407999952324,8.106231689453125e-06,,
2,32,8,128,128,0.2244223929992586,1.9073486328125e-06,,
2,32,16,4,4,0.7668323470024916,0.004520416259765625,,
2,32,16,8,8,0.7490253999967535,0.0007114410400390625,,
2,32,16,16,16,0.7690376760001527,0.00013828277587890625,,
2,32,16,32,32,0.7488375879984233,3.36766242980957e-05,,
2,32,16,64,64,0.7494423960015411,7.867813110351562e-06,,
2,32,16,128,128,0.8209573849999288,1.9073486328125e-06,,
2,32,32,4,4,2.9308611980013666,0.004619598388671875,,
2,32,32,8,8,2.9649530069982575,0.0006947517395019531,,
2,32,32,16,16,2.969196029000159,0.0001456737518310547,,
2,32,32,32,32,2.9818742360002943,3.266334533691406e-05,,
2,32,32,64,64,2.9407846850008355,8.106231689453125e-06,,
2,32,32,128,128,3.295277661,1.9669532775878906e-06,,
2,32,64,4,4,11.60484418499982,0.0047149658203125,,
2,32,64,8,8,11.823089843001071,0.0007071495056152344,,
2,32,64,16,16,14.007243267999002,0.0001436471939086914,,
2,32,64,32,32,11.940424205000454,3.2842159271240234e-05,,
2,32,64,64,64,11.558729360000143,7.987022399902344e-06,,
2,32,64,128,128,12.67011526299757,1.9669532775878906e-06,,
2,32,128,4,4,44.753754446999665,0.00470733642578125,,
2,32,128,8,8,46.06017167800019,0.0007038116455078125,,
2,32,128,16,16,46.25900980699953,0.00014400482177734375,,
2,32,128,32,32,45.604746132998116,3.3020973205566406e-05,,
2,32,128,64,64,51.35214832799829,7.987022399902344e-06,,
2,32,128,128,128,54.88129338399813,1.9669532775878906e-06,,
2,64,4,4,4,0.07732593000037014,0.0027027130126953125,,
2,64,4,8,8,0.0779817840011674,0.00029754638671875,,
2,64,4,16,16,0.08055530999990879,8.612871170043945e-05,,
2,64,4,32,32,0.07583444899864844,1.3947486877441406e-05,,
2,64,4,64,64,0.06511355300244759,3.814697265625e-06,,
2,64,4,128,128,0.07513853500131518,9.5367431640625e-07,,
2,64,8,4,4,0.2593334129996947,0.0025653839111328125,,
2,64,8,8,8,0.22618608999982825,0.0003726482391357422,,
2,64,8,16,16,0.25390971500019077,6.67572021484375e-05,,
2,64,8,32,32,0.2573257910007669,1.6570091247558594e-05,,
2,64,8,64,64,0.2878729840012966,3.7550926208496094e-06,,
2,64,8,128,128,0.253849774999253,1.0132789611816406e-06,,
2,64,16,4,4,0.9545132620005461,0.0023784637451171875,,
2,64,16,8,8,0.9854686500002572,0.0003437995910644531,,
2,64,16,16,16,0.9637291450017074,7.158517837524414e-05,,
2,64,16,32,32,0.8953947429981781,1.6391277313232422e-05,,
2,64,16,64,64,0.9228276920002827,3.933906555175781e-06,,
2,64,16,128,128,0.964641048998601,9.5367431640625e-07,,
2,64,32,4,4,3.0853609859987046,0.002361297607421875,,
2,64,32,8,8,3.082328383999993,0.0003509521484375,,
2,64,32,16,16,3.0582350109980325,7.206201553344727e-05,,
2,64,32,32,32,3.074883763001708,1.6629695892333984e-05,,
2,64,32,64,64,3.3135217720009678,3.993511199951172e-06,,
2,64,32,128,128,3.3107340349997685,1.0132789611816406e-06,,
2,64,64,4,4,11.837663184996927,0.0023822784423828125,,
2,64,64,8,8,11.70203907999894,0.0003483295440673828,,
2,64,64,16,16,12.015441914001713,7.271766662597656e-05,,
2,64,64,32,32,11.794109555001342,1.6510486602783203e-05,,
2,64,64,64,64,12.782496488998731,3.933906555175781e-06,,
2,64,64,128,128,12.94183871900168,9.5367431640625e-07,,
2,64,128,4,4,48.456546196001,0.0023784637451171875,,
2,64,128,8,8,46.360840208999434,0.00034999847412109375,,
2,64,128,16,16,46.17719236099947,7.236003875732422e-05,,
2,64,128,32,32,52.656406663998496,1.6510486602783203e-05,,
2,64,128,64,64,55.985787926998455,3.933906555175781e-06,,
2,64,128,128,128,58.04227495300074,9.5367431640625e-07,,
2,128,4,4,4,0.060149304001242854,0.0010585784912109375,,
2,128,4,8,8,0.06101167000088026,0.00018715858459472656,,
